NAME OF PROJECT,n_rows,heuristic_v2_at_labeling_time,label
Unifform,1,Unclassified,N
Tanod Outpost,3,Unclassified,I
socio cultural activities,2,Non-Infrastructure,N
"Television and Standfans (3 TV, 2 Standfan) for Doroteo Lujan Elem. Sch.",1,Unclassified,N
Computer set with printer,2,Non-Infrastructure,N
FA-Sound System,2,Non-Infrastructure,N
Year End Assessment,3,Unclassified,N
Const. of Perimter Fence,1,Infrastructure,I
Built-in Audio System (Sipitan Badiang Elem. Sch.),1,Unclassified,N
Rehab of school based multi-purpose teen center,1,Infrastructure,I
Solar Powered St. Lights,1,Unclassified,I
Annual Year End Assessment Evaluation,3,Unclassified,N
Sports Development,3,Unclassified,N
"TF-Brgy. Agri Workers, Enumerators Honoraria",1,Unclassified,N
Repair/Rehabilitation of Health Center,1,Infrastructure,I
Water Dispenser,3,Unclassified,N
Construction of Road Canal,1,Infrastructure,I
Air Conditioner,3,Unclassified,N
Const. of Steel Gate,1,Unclassified,I
CCTV Camera (4 units),3,Non-Infrastructure,N
Constrcution of Water System,1,Infrastructure,I
1 unit of Service Vehicle,1,Unclassified,N
Monoblock Chairs (100 pcs),1,Non-Infrastructure,N
Fiber Glass Board ( SK ),1,Unclassified,N
Tent,4,Unclassified,N
50 pcs Monoblock Chairs,1,Non-Infrastructure,N
Teen Center (Salihid NHS),1,Unclassified,I
Improvement of Day Care Center Sitio Sambulawan( Grills/ Finishing),1,Infrastructure,I
Augmentation of the COVID 19 Preventive Measures,1,Non-Infrastructure,N
Sission Chairs,1,Non-Infrastructure,N
Transfer of Fund (3 Classroom & 1 Building),1,Infrastructure,I
Radio Base and Battery pack,1,Non-Infrastructure,N
TF Concrete Canal,1,Infrastructure,I
Solar St. lights,5,Unclassified,I
2 Unit Industrial Fan,1,Unclassified,N
St Lights,4,Unclassified,I
2019 Search for Outstanding LGUs on Ecological and Sustainable Solid Waste Management System (E+3S) Yr.3,5,Unclassified,N
Disaster Preparedness Response Program,1,Unclassified,N
"Finacial Assistance,  (Tanod Outpost)",1,Non-Infrastructure,I
FA-Socio Cultural Activities(Gift Giving),1,Non-Infrastructure,N
Const. of Brgy. Footpath,1,Unclassified,I
Defray Expenses for Holding 16th Kahilwayan Festival & Commemorating the 118th Cry of Sta. Barbara,1,Unclassified,N
Improvement of Multi Purpose Hall  (Tiles),1,Infrastructure,I
St. Lights,7,Unclassified,I
Donation (Miag-ao NHS),1,Unclassified,N
Const. of solar street lights(10 units),1,Infrastructure,I
TOF-various supplies for teen center @ san luis nhs,1,Non-Infrastructure,N
Installation of CCTV Cameraw/ Complete Accessories,1,Non-Infrastructure,N
T/F Construction of Streetlights,1,Infrastructure,I
1 Set Sound System,1,Non-Infrastructure,N
Construction of 1 Sch. Bldg. 2 Classrooms- Agboy Elem. Sch.,1,Infrastructure,I
Solar St. Lights,9,Unclassified,I
Agricultural Workers,2,Unclassified,N
Rehabilitation of Streetlight,1,Infrastructure,I
Rehabilitation of day care center,1,Infrastructure,I
Overflow,4,Unclassified,I
"FA-Socio Cultural Activities(Fiesta , Palumba)",1,Non-Infrastructure,N
1 Unit Laptop w/ Printer & Accessories,1,Non-Infrastructure,N
Installation of Concrete Electrical Posts,1,Unclassified,I
BHW and BNS Uniform,1,Non-Infrastructure,N
Mono Block Chairs (91 pcs),1,Non-Infrastructure,N
Donation,2,Unclassified,N
FMR,5,Unclassified,I
Improvement / Completion of Stage and Comfort room,1,Unclassified,I
Transformer,2,Unclassified,N
Ammunition Reloader,3,Unclassified,N
Installation of Solar St. Lights (5 Posts),1,Unclassified,I
Construction School Gymnasium E.S Tambobo Dumangas,1,Infrastructure,I
Computer set with Printer,1,Non-Infrastructure,N
Emergency Vehicle,1,Unclassified,N
TPED,3,Unclassified,X
Plastic Chairs and Tables( 50 Chairs),1,Non-Infrastructure,N
Improvement of Day Care Center of Brgy. Banugan,1,Infrastructure,I
2 Units Aircon,2,Unclassified,N
Water Tank,3,Unclassified,N
Concreting of Brgy. Road,7,Infrastructure,I
FMR (50 MTS),1,Unclassified,I
1 set trolley Bluetooth speacker & 2 wireless microphone,1,Unclassified,N
Laptop with Printer (laptop is in the possession of the treasurer who uses the same in  her Audit in the Mun.Office),1,Non-Infrastructure,N
FA-Photocopier Machine,1,Unclassified,N
Sports activities,3,Unclassified,N
Construction of Solar Street Lights (3 posts ),2,Infrastructure,I
2 Unit Split Type Aircon,1,Unclassified,N
Smart TV,4,Unclassified,N
Medical Equipment ,1,Non-Infrastructure,N
Re Gravelling,3,Unclassified,I
PE Pipe,1,Unclassified,N
FA- Desktop Computer & Accessories,1,Non-Infrastructure,N
Socio Cultural Activities (Bgry. Day-Snacks/Food),1,Non-Infrastructure,N
Augmentation to COVID-19 (1stTrance),1,Non-Infrastructure,N
Purchase of printer  & 2 airconditioner,1,Non-Infrastructure,N
Foldable Plastic Table,3,Unclassified,N
"FA-Uniforms, Basketball and Volley Ball Players",1,Non-Infrastructure,N
Rehabilitation of Multi-Purpose Building of Barangay Poblacion C,1,Infrastructure,I
1 Unit Airconditioner,3,Unclassified,N
Audio System,5,Unclassified,N
Solar Street lights,1,Infrastructure,I
Completion of Evacuation Center,7,Unclassified,I
Multi Purpose Hall Liga,1,Infrastructure,I
Solar Lamp,1,Unclassified,X
Constn of MP Hall,2,Unclassified,I
MP Hall (roofing and tiles),1,Unclassified,I
