NAME OF PROJECT,project_type
Box Culvert,Infrastructure
Electrification,Infrastructure
TPED,Non-Infrastructure
Basketball League,Non-Infrastructure
Brgy. Facilities(Rooftop),Infrastructure
Christmas Light,Non-Infrastructure
Distribution of Farm Implements,Non-Infrastructure
Establishment of Pump Irrigation,Non-Infrastructure
Falco Roofing,Infrastructure
Financial Assistance Street Lights,Non-Infrastructure
Gines Elem. Sch.,Non-Infrastructure
Hosting of Congressional Meet,Non-Infrastructure
Installation of Distribution of Pipelines including values and fitting for water supply system,Infrastructure
Integrated Farming System (Palayamanan),Infrastructure
Laptop - Maingit Elementary School,Non-Infrastructure
Lot,Non-Infrastructure
MPB,Non-Infrastructure
Rainwater Ferrocement Tank – Gaub Elem. Sch.,Non-Infrastructure
Relocation of Main Feederline & Upgrading of Electrical System of Rep. Pedro G. Trona Memorial Hospital,Non-Infrastructure
Slope Protection,Infrastructure
Slope Protection Taban Manguining,Infrastructure
Solar Panel Board,Non-Infrastructure
Stage Tuburan ES,Infrastructure
Steel Cabinet,Non-Infrastructure
Tourism Information Center,Infrastructure
Waiting Shed,Infrastructure
Well Development,Infrastructure
" 2nd Floor, Brgy. Hall",Infrastructure
"1,000 sq.m. Lot",Non-Infrastructure
100 Units Wall Locked Solar Lamp,Non-Infrastructure
14340 Hectares,Non-Infrastructure
1500 sqm. Lot,Non-Infrastructure
2 Units of Aircon (Birthing Center),Non-Infrastructure
5.1 MW Mini Hydro Power Plant,Infrastructure
6 Fan & 8 Flood Light  (Sipitan Badiang Elem. Sch.),Non-Infrastructure
6.6khw Solar PV,Non-Infrastructure
Artificial Reef Deployment,Non-Infrastructure
Auditorium- Jalaud Elem. Sch.,Infrastructure
BMX Bike,Non-Infrastructure
Back Stage,Infrastructure
Back Up Area of Dumangas Port,Infrastructure
Banana Development Project,Non-Infrastructure
Biogas,Non-Infrastructure
Biogas Digester,Non-Infrastructure
Box Culvert & Welcome Arc,Infrastructure
Brgy. League(Sports Basketball),Non-Infrastructure
Brgy. Patrol Boat,Non-Infrastructure
CDSA,Non-Infrastructure
Cacao Development Project,Non-Infrastructure
Canopy,Non-Infrastructure
Casava Development Project,Non-Infrastructure
Classroom Tent,Infrastructure
Combat Shoes,Non-Infrastructure
Comfort Room,Infrastructure
Community Stage,Infrastructure
Complete Set of Trumpa,Non-Infrastructure
Completion on the Upgrading of Electrical System and Installation of Additional  350KVA Transformer – 3 Phase Primary Line Ext. of FRTSMDH,Infrastructure
Concrete Bleachers,Infrastructure
Const. of Basketball Fiber Glass Board-Brgy. Iniligan,Non-Infrastructure
Const. of Public Toilet,Non-Infrastructure
Corn Development Project,Non-Infrastructure
Covered Court,Infrastructure
Covered Court ,Infrastructure
Deep Well,Infrastructure
Dumpsite,Infrastructure
"Electrical Wiring, Water Floater & Water Meter",Non-Infrastructure
Electrification (Sitio Villaruz),Infrastructure
Establishment of Critical Care Unit (CCU) at Iloilo Provincial Hospital,Infrastructure
Establishment of Electrification Project,Infrastructure
Extension Ladder,Non-Infrastructure
"F.A  Paving Stone, Earth soil, sand & Gravel",Infrastructure
F.A Waiting Shed,Infrastructure
F/A roof mounted enphase Solar System,Non-Infrastructure
