barangay,municipality,psgc_code
Adcadarao,Ajuy,0603001001
Agbobolo,Ajuy,0603001002
Badiangan,Ajuy,0603001003
Barrido,Ajuy,0603001004
Bato Biasong,Ajuy,0603001005
Bay-ang,Ajuy,0603001006
Bucana Bunglas,Ajuy,0603001007
Central,Ajuy,0603001008
Culasi,Ajuy,0603001009
Lanjagan,Ajuy,0603001010
Luca,Ajuy,0603001011
Malayu-an,Ajuy,0603001012
Mangorocoro,Ajuy,0603001013
Nasidman,Ajuy,0603001014
Pantalan Nabaye,Ajuy,0603001015
Pantalan Navarro,Ajuy,0603001016
Pedada,Ajuy,0603001017
Pili,Ajuy,0603001018
Pinantan Diel,Ajuy,0603001019
Pinantan Elizalde,Ajuy,0603001020
Pinay Espinosa,Ajuy,0603001021
Poblacion,Ajuy,0603001022
Progreso,Ajuy,0603001023
Puente Bunglas,Ajuy,0603001024
Punta Buri,Ajuy,0603001025
Rojas,Ajuy,0603001026
San Antonio,Ajuy,0603001027
Santo Rosario,Ajuy,0603001029
Silagon,Ajuy,0603001028
Tagubanhan,Ajuy,0603001030
Taguhangin,Ajuy,0603001031
Tanduyan,Ajuy,0603001032
Tipacla,Ajuy,0603001033
Tubogan,Ajuy,0603001034
Abang-abang,Alimodian,0603002001
Agsing,Alimodian,0603002002
Atabay,Alimodian,0603002003
Ba-ong,Alimodian,0603002004
Bagsakan,Alimodian,0603002006
Baguingin-Lanot,Alimodian,0603002005
Bagumbayan-Ilajas,Alimodian,0603002007
Balabago,Alimodian,0603002008
Ban-ag,Alimodian,0603002009
Bancal,Alimodian,0603002010
Binalud,Alimodian,0603002011
Bugang,Alimodian,0603002012
Buhay,Alimodian,0603002014
Bulod,Alimodian,0603002015
Cabacanan Proper,Alimodian,0603002017
Cabacanan Rizal,Alimodian,0603002018
Cagay,Alimodian,0603002019
Coline,Alimodian,0603002020
Coline-Dalag,Alimodian,0603002021
Cunsad,Alimodian,0603002022
Cuyad,Alimodian,0603002023
Dalid,Alimodian,0603002024
Dao,Alimodian,0603002025
Gines,Alimodian,0603002026
Ginomoy,Alimodian,0603002027
Ingwan,Alimodian,0603002028
Laylayan,Alimodian,0603002029
Lico,Alimodian,0603002030
